年QTR	地域名	指標	Steam	Glass	マルチバスケット	その他
2023 Q1	China	販売金額（百万円）	4009	1939	2992	6792
2023 Q1	APAC ex-China	販売数量（千台）	56	36	65	383
2023 Q1	APAC ex-China	販売金額（百万円）	1266	746	1653	5445
2023 Q2	North America	販売数量（千台）	123	65	157	571
2023 Q2	North America	販売金額（百万円）	3486	1688	5005	10185
2023 Q2	Europe	販売数量（千台）	92	47	139	497
2023 Q2	Europe	販売金額（百万円）	2448	1147	4162	8326
2023 Q2	China	販売数量（千台）	230	120	160	565
2023 Q2	China	販売金額（百万円）	4647	2223	3637	7186
2023 Q2	APAC ex-China	販売数量（千台）	66	37	78	395
2023 Q2	APAC ex-China	販売金額（百万円）	1496	769	1989	5637
2023 Q3	North America	販売数量（千台）	133	69	180	574
2023 Q3	North America	販売金額（百万円）	3780	1798	5755	10277
2023 Q3	Europe	販売数量（千台）	105	49	159	523
2023 Q3	Europe	販売金額（百万円）	2803	1199	4774	8794
2023 Q3	China	販売数量（千台）	254	130	172	573
2023 Q3	China	販売金額（百万円）	5147	2415	3921	7315
2023 Q3	APAC ex-China	販売数量（千台）	74	43	81	406
2023 Q3	APAC ex-China	販売金額（百万円）	1682	896	2072	5815
2023 Q4	North America	販売数量（千台）	163	82	209	655
2023 Q4	North America	販売金額（百万円）	4646	2143	6702	11771
2023 Q4	Europe	販売数量（千台）	129	63	184	579
2023 Q4	Europe	販売金額（百万円）	3453	1546	5541	9772
2023 Q4	China	販売数量（千台）	309	169	214	624
2023 Q4	China	販売金額（百万円）	6280	3149	4893	7996
2023 Q4	APAC ex-China	販売数量（千台）	91	57	107	462
2023 Q4	APAC ex-China	販売金額（百万円）	2075	1191	2745	6642
2024 Q1	North America	販売数量（千台）	141	77	183	493
2024 Q1	North America	販売金額（百万円）	4031	2018	5885	8893
2024 Q1	Europe	販売数量（千台）	111	57	158	445
2024 Q1	Europe	販売金額（百万円）	2980	1403	4772	7538
2024 Q1	China	販売数量（千台）	257	142	179	489
2024 Q1	China	販売金額（百万円）	5239	2653	4105	6289
2024 Q1	APAC ex-China	販売数量（千台）	74	45	86	371
2024 Q1	APAC ex-China	販売金額（百万円）	1692	943	2213	5354
2024 Q2	North America	販売数量（千台）	159	86	197	517
2024 Q2	North America	販売金額（百万円）	4559	2260	6354	9360
2024 Q2	Europe	販売数量（千台）	120	59	167	467
2024 Q2	Europe	販売金額（百万円）	3231	1456	5059	7940
2024 Q2	China	販売数量（千台）	278	153	200	504
2024 Q2	China	販売金額（百万円）	5683	2867	4600	6507
2024 Q2	APAC ex-China	販売数量（千台）	82	52	101	388
2024 Q2	APAC ex-China	販売金額（百万円）	1881	1093	2606	5620
2024 Q3	North America	販売数量（千台）	171	89	221	516
2024 Q3	North America	販売金額（百万円）	4917	2346	7149	9377
2024 Q3	Europe	販売数量（千台）	131	68	192	483
2024 Q3	Europe	販売金額（百万円）	3538	1683	5833	8243
2024 Q3	China	販売数量（千台）	301	178	221	506
2024 Q3	China	販売金額（百万円）	6172	3345	5098	6557
2024 Q3	APAC ex-China	販売数量（千台）	90	60	106	394
2024 Q3	APAC ex-China	販売金額（百万円）	2070	1265	2743	5728
2024 Q4	North America	販売数量（千台）	207	120	266	598
2024 Q4	North America	販売金額（百万円）	5970	3172	8630	10908
2024 Q4	Europe	販売数量（千台）	154	88	220	542
2024 Q4	Europe	販売金額（百万円）	4171	2185	6703	9285
2024 Q4	China	販売数量（千台）	371	223	273	573
2024 Q4	China	販売金額（百万円）	7629	4204	6316	7453
2024 Q4	APAC ex-China	販売数量（千台）	112	69	133	444
2024 Q4	APAC ex-China	販売金額（百万円）	2584	1459	3452	6479
2025 Q1	North America	販売数量（千台）	167	100	223	451
2025 Q1	North America	販売金額（百万円）	4830	2651	7256	8257
2025 Q1	Europe	販売数量（千台）	129	69	188	419
2025 Q1	Europe	販売金額（百万円）	3504	1718	5745	7204
2025 Q1	China	販売数量（千台）	300	174	223	421
2025 Q1	China	販売金額（百万円）	6187	3289	5174	5496
2025 Q1	APAC ex-China	販売数量（千台）	95	58	108	346
2025 Q1	APAC ex-China	販売金額（百万円）	2198	1230	2811	5068
2025 Q2	North America	販売数量（千台）	184	105	240	468
2025 Q2	North America	販売金額（百万円）	5338	2792	7832	8600
2025 Q2	Europe	販売数量（千台）	145	76	199	435
2025 Q2	Europe	販売金額（百万円）	3950	1898	6099	7507
2025 Q2	China	販売数量（千台）	343	206	250	429
2025 Q2	China	販売金額（百万円）	7095	3906	5817	5621
2025 Q2	APAC ex-China	販売数量（千台）	108	70	125	362
2025 Q2	APAC ex-China	販売金額（百万円）	2506	1489	3263	5322
2025 Q3	North America	販売数量（千台）	207	124	271	466
2025 Q3	North America	販売金額（百万円）	6022	3307	8870	8596
2025 Q3	Europe	販売数量（千台）	162	91	225	434
2025 Q3	Europe	販売金額（百万円）	4426	2279	6916	7518
2025 Q3	China	販売数量（千台）	373	230	281	422
2025 Q3	China	販売金額（百万円）	7738	4374	6558	5550
2025 Q3	APAC ex-China	販売数量（千台）	115	74	135	378
2025 Q3	APAC ex-China	販売金額（百万円）	2677	1579	3535	5578
2025 Q4	North America	販売数量（千台）	256	155	326	522
2025 Q4	North America	販売金額（百万円）	7470	4146	10701	9664
2025 Q4	Europe	販売数量（千台）	194	105	260	499
2025 Q4	Europe	販売金額（百万円）	5316	2637	8015	8676
2025 Q4	China	販売数量（千台）	438	266	328	477
2025 Q4	China	販売金額（百万円）	9113	5073	7677	6297
2025 Q4	APAC ex-China	販売数量（千台）	136	87	163	428
2025 Q4	APAC ex-China	販売金額（百万円）	3175	1862	4280	6339
